"","Year","variable","value"
"1",1995,"Regional_Breweries",50
"2",1996,"Regional_Breweries",20.8333333333333
"3",1997,"Regional_Breweries",6.89655172413793
"4",1998,"Regional_Breweries",3.2258064516129
"5",1999,"Regional_Breweries",12.5
"6",2000,"Regional_Breweries",0
"7",2001,"Regional_Breweries",8.33333333333333
"8",2002,"Regional_Breweries",2.56410256410256
"9",2003,"Regional_Breweries",7.5
"10",2004,"Regional_Breweries",6.97674418604651
"11",2005,"Regional_Breweries",6.52173913043478
"12",2006,"Regional_Breweries",2.04081632653061
"13",2007,"Regional_Breweries",10
"14",2008,"Regional_Breweries",12.7272727272727
"15",2009,"Regional_Breweries",14.5161290322581
"16",2010,"Regional_Breweries",14.0845070422535
"17",2011,"Regional_Breweries",8.64197530864197
"18",2012,"Regional_Breweries",10.2272727272727
"19",2013,"Regional_Breweries",22.680412371134
"20",2014,"Regional_Breweries",13.4453781512605
"21",2015,"Regional_Breweries",31.8518518518519
"22",2016,"Regional_Breweries",4.49438202247191
"23",2017,"Regional_Breweries",8.60215053763441
"24",1995,"Microbreweries",42.1875
"25",1996,"Microbreweries",33.6996336996337
"26",1997,"Microbreweries",10.4109589041096
"27",1998,"Microbreweries",4.21836228287841
"28",1999,"Microbreweries",-0.476190476190476
"29",2000,"Microbreweries",-3.11004784688995
"30",2001,"Microbreweries",-3.20987654320988
"31",2002,"Microbreweries",-3.8265306122449
"32",2003,"Microbreweries",-0.26525198938992
"33",2004,"Microbreweries",-3.72340425531915
"34",2005,"Microbreweries",-2.20994475138122
"35",2006,"Microbreweries",4.51977401129944
"36",2007,"Microbreweries",14.0540540540541
"37",2008,"Microbreweries",6.63507109004739
"38",2009,"Microbreweries",12.2222222222222
"39",2010,"Microbreweries",22.7722772277228
"40",2011,"Microbreweries",35.9677419354839
"41",2012,"Microbreweries",35.5871886120996
"42",2013,"Microbreweries",28.6964129483815
"43",2014,"Microbreweries",41.1284840244732
"44",2015,"Microbreweries",26.4932562620424
"45",2016,"Microbreweries",21.7060167555217
"46",2017,"Microbreweries",19.2740926157697
"47",1995,"Brewpubs",51.063829787234
"48",1996,"Brewpubs",39.4366197183099
"49",1997,"Brewpubs",29.8701298701299
"50",1998,"Brewpubs",11.2222222222222
"51",1999,"Brewpubs",5.0949050949051
"52",2000,"Brewpubs",1.52091254752852
"53",2001,"Brewpubs",-1.12359550561798
"54",2002,"Brewpubs",-1.51515151515152
"55",2003,"Brewpubs",-2.78846153846154
"56",2004,"Brewpubs",-0.593471810089021
"57",2005,"Brewpubs",-1.39303482587065
"58",2006,"Brewpubs",-0.201816347124117
"59",2007,"Brewpubs",-0.70778564206269
"60",2008,"Brewpubs",2.74949083503055
"61",2009,"Brewpubs",1.09018830525273
"62",2010,"Brewpubs",3.23529411764706
"63",2011,"Brewpubs",3.03893637226971
"64",2012,"Brewpubs",8.75576036866359
"65",2013,"Brewpubs",10.8474576271186
"66",2014,"Brewpubs",16.8195718654434
"67",2015,"Brewpubs",13.8743455497382
"68",2016,"Brewpubs",17.3563218390805
"69",2017,"Brewpubs",10.2840352595495
